state,county,less_than_high_school_diploma_2015-19,high_school_diploma_only_2015-19,some_college_or_associate_ degree_2015-19,bachelor_degree_or_higher_2015-19
IL,Hamilton County,745,2022,2036,987
IL,Hancock County,850,4737,4645,2722
IL,Hardin County,609,967,1093,322
IL,Henderson County,447,2115,1585,929
IL,Henry County,3041,11660,11819,8054
IL,Iroquois County,2071,7842,6655,3129
IL,Jackson County,2840,8436,11811,11955
IL,Jasper County,687,2629,2288,1113
IL,Jefferson County,3328,8101,10293,4750
IL,Jersey County,1182,5920,5062,3095
IL,Jo Daviess County,1247,5788,5064,4032
IL,Johnson County,1635,2906,3195,1472
IL,Kane County,53281,78727,99382,114683
IL,Kankakee County,8599,25057,24087,15139
IL,Kendall County,5986,18127,26459,28658
IL,Knox County,3849,12865,11797,6661
IL,Lake County,42861,95007,112368,207440
IL,La Salle County,8816,27542,27133,13784
IL,Lawrence County,1793,4113,4186,1764
IL,Lee County,2804,8446,9181,4547
IL,Livingston County,2567,11372,7743,3752
IL,Logan County,2299,7196,6819,4059
IL,McDonough County,1171,5686,5494,5873
IL,McHenry County,14270,55175,67035,71708
IL,McLean County,4248,25798,27787,46998
IL,Macon County,6968,25742,23933,16058
IL,Macoupin County,2805,12850,10698,5934
IL,Madison County,13961,55164,66200,49613
IL,Marion County,2895,9231,10131,3979
IL,Marshall County,599,3309,2908,1588
IL,Mason County,1067,4220,2994,1582
IL,Massac County,1326,3365,3934,1396
IL,Menard County,518,3130,2994,2093
IL,Mercer County,899,4408,3894,1934
IL,Monroe County,974,6674,8036,8460
IL,Montgomery County,2581,8237,6637,3498
IL,Morgan County,2168,9574,7463,4589
IL,Moultrie County,1509,3303,3237,1845
IL,Ogle County,3475,11891,12579,7624
IL,Peoria County,11163,33934,40209,37594
IL,Perry County,2572,5636,5270,1931
IL,Piatt County,709,3930,3635,3310
IL,Pike County,1238,4236,3523,1951
IL,Pope County,467,1199,1231,435
IL,Pulaski County,438,1413,1556,487
IL,Putnam County,309,1614,1609,701
IL,Randolph County,3674,8752,7905,3124
IL,Richland County,1197,3287,4201,2310
IL,Rock Island County,11278,29198,35313,23342
IL,St. Clair County,15958,50187,62235,49954
IL,Saline County,2278,4702,6845,3288
IL,Sangamon County,10302,37131,42032,47107
IL,Schuyler County,550,1850,1735,1060
IL,Scott County,231,1696,1063,562
IL,Shelby County,1200,6922,4836,2619
IL,Stark County,337,1615,1266,661
IL,Stephenson County,2392,11204,12158,6261
IL,Tazewell County,6791,29594,32368,24535
IL,Union County,1418,4333,3822,2659
IL,Vermilion County,6097,21768,17169,7791
IL,Wabash County,770,2508,3410,1486
IL,Warren County,1496,3582,3573,2556
IL,Washington County,787,3373,3829,2113
IL,Wayne County,1390,4022,4341,1772
IL,White County,999,3712,3681,1541
IL,Whiteside County,3695,14823,13608,7162
IL,Will County,40481,121538,134770,154876
IL,Williamson County,3662,14787,17561,11575
IL,Winnebago County,23914,61568,64136,44364
IL,Woodford County,1363,8160,7884,8651
IN,Indiana,495390,1480084,1282863,1172156
IN,Adams County,3248,8620,6088,3284
IN,Allen County,25804,68442,79036,69013
IN,Bartholomew County,5276,17270,14703,18737
IN,Benton County,591,2504,1809,941
IN,Blackford County,900,4216,2242,1145
IN,Boone County,2749,8436,10786,21336
IN,Brown County,903,3756,3469,3303
IN,Carroll County,1619,5716,4340,2336
IN,Cass County,3775,10301,8287,3443
IN,Clark County,8522,27939,27181,17099
IN,Clay County,1574,7980,5569,3104
IN,Clinton County,3036,9142,5527,3453
IN,Crawford County,1445,3394,1786,764
IN,Daviess County,5387,6989,5472,2717
IN,Dearborn County,3556,13327,9555,7831
IN,Decatur County,1618,7853,4706,3684
IN,DeKalb County,2827,12221,8680,5221
IN,Delaware County,7298,24955,21928,16859
IN,Dubois County,3071,10971,7783,6793
IN,Elkhart County,24936,45057,34079,25613
IN,Fayette County,2907,6823,4339,2153
IN,Floyd County,4899,16416,16116,15732
IN,Fountain County,1267,5035,3503,1712
IN,Franklin County,1967,6609,3683,3287
IN,Fulton County,1692,5625,4337,2188
IN,Gibson County,1853,9332,7516,4107
IN,Grant County,5634,17822,12713,7888
IN,Greene County,2745,9366,7272,3381
IN,Hamilton County,6748,31346,47335,124554
IN,Hancock County,3666,16857,15091,15868
IN,Harrison County,3236,11097,8434,5230
IN,Hendricks County,6540,29955,32107,40319
IN,Henry County,3673,15031,10006,5652
IN,Howard County,5979,20459,18263,12282
IN,Huntington County,2042,10344,7611,5022
IN,Jackson County,3803,12556,8599,5014
IN,Jasper County,2654,9735,6930,3213
IN,Jay County,1646,6723,3809,1567
IN,Jefferson County,2298,9448,6576,3989
IN,Jennings County,2315,8687,5682,2278
IN,Johnson County,8090,31891,29001,33485
IN,Knox County,2772,8764,8825,4149
IN,Kosciusko County,7567,18395,14536,12328
IN,LaGrange County,8649,6909,4703,2370
IN,Lake County,37191,114960,101723,73988
IN,LaPorte County,8903,30572,23833,13914
IN,Lawrence County,3778,13593,9714,5078
IN,Madison County,10441,35520,27541,16578
IN,Marion County,87377,175257,170346,193422
IN,Marshall County,4630,11918,8140,6047
IN,Martin County,848,3041,2253,978
IN,Miami County,3459,10480,7767,3249
IN,Monroe County,6143,18748,20968,38637
IN,Montgomery County,2666,10748,7881,4725
IN,Morgan County,5736,18964,15221,8323
IN,Newton County,1412,4239,3080,1176
IN,Noble County,5168,13231,8791,4330
IN,Ohio County,541,1889,1306,643
IN,Orange County,2282,6317,3481,1481
IN,Owen County,2183,6637,4179,1960
IN,Parke County,1661,4876,4056,1443
IN,Perry County,1321,6090,4010,2194
IN,Pike County,1151,3637,2695,1230
IN,Porter County,7417,40530,34819,32880
IN,Posey County,1181,6852,5972,3928
IN,Pulaski County,1005,4016,2586,1112
IN,Putnam County,2762,10512,7374,4162
IN,Randolph County,2164,7521,5152,2484
IN,Ripley County,2054,8400,5317,3473
IN,Rush County,1456,5346,3112,1602
IN,St. Joseph County,20212,54163,49695,52101
IN,Scott County,2760,7158,4564,1966
IN,Shelby County,3911,13101,8107,5765
IN,Spencer County,1368,6628,4210,2188
IN,Starke County,2385,6656,4881,1875
IN,Steuben County,2103,9414,7074,5168
IN,Sullivan County,1680,6592,4838,1804
IN,Switzerland County,1171,3363,1928,791
IN,Tippecanoe County,8855,26901,29086,40984
IN,Tipton County,1159,4419,2579,2671
IN,Union County,633,2184,1288,933
IN,Vanderburgh County,12306,40315,37927,33511
IN,Vermillion County,986,4731,3644,1552
IN,Vigo County,8059,22137,21625,17408
IN,Wabash County,2426,9224,6070,3923
IN,Warren County,473,2456,1810,1141
IN,Warrick County,2898,13402,13590,12992
IN,Washington County,2890,8330,5518,2591
IN,Wayne County,6163,16997,14095,8295
IN,Wells County,1471,7628,6420,3454
IN,White County,1868,6917,5120,2720
IN,Whitley County,1906,9160,7464,4842
IA,Iowa,165514,648398,681042,597831
IA,Adair County,296,2074,1800,945
IA,Adams County,166,1042,1040,414
IA,Allamakee County,1135,3811,3008,1718
IA,Appanoose County,876,3251,3320,1454
IA,Audubon County,424,1495,1423,688
IA,Benton County,1050,6555,6221,3925
IA,Black Hawk County,7204,25525,26629,24360
IA,Boone County,1128,5848,6879,4691
IA,Bremer County,591,5412,5389,5036
IA,Buchanan County,826,5398,4763,3018
IA,Buena Vista County,2708,3812,3567,2477
IA,Butler County,770,3903,3833,1775
IA,Calhoun County,433,2659,2599,1306
IA,Carroll County,889,5045,4749,3079
IA,Cass County,1119,3538,2802,1872
IA,Cedar County,573,4872,4636,2870
IA,Cerro Gordo County,2239,9341,11771,7217
IA,Cherokee County,563,2931,2869,1819
IA,Chickasaw County,594,3617,2651,1427
IA,Clarke County,782,2485,2103,1020
IA,Clay County,732,3917,4138,2585
IA,Clayton County,1279,5492,3688,2250
IA,Clinton County,2970,12654,11177,5849
IA,Crawford County,2204,4152,3172,1584
IA,Dallas County,2484,10067,15685,28669
IA,Davis County,944,1819,1740,1089
IA,Decatur County,529,1813,1286,1212
IA,Delaware County,979,5045,3807,1961
IA,Des Moines County,2184,9177,10545,5523
IA,Dickinson County,510,3351,4610,4277
IA,Dubuque County,4731,21221,18955,19947
IA,Emmet County,604,2127,2526,1219
IA,Fayette County,1142,5453,4657,2518
IA,Floyd County,1076,3846,3791,2148
IA,Franklin County,630,2544,2633,1272
IA,Fremont County,393,1677,1977,941
IA,Greene County,415,2502,2211,1176
IA,Grundy County,470,2724,3027,2407
IA,Guthrie County,519,2934,2591,1492
IA,Hamilton County,709,3416,3859,2566
IA,Hancock County,511,2792,2550,1829
IA,Hardin County,919,4220,4492,2524
IA,Harrison County,838,3676,3445,1923
IA,Henry County,1017,4915,5044,2681
IA,Howard County,571,2511,2203,995
IA,Humboldt County,481,2482,2317,1421
IA,Ida County,325,1861,1716,891
IA,Iowa County,697,4188,4267,2124
IA,Jackson County,1015,5726,4280,2618
IA,Jasper County,1586,10765,8787,4889
IA,Jefferson County,928,3812,4602,4294
IA,Johnson County,4429,14245,22636,46226
IA,Jones County,1124,5805,4880,2866
IA,Keokuk County,510,2888,2451,1308
IA,Kossuth County,640,3938,4105,1842
IA,Lee County,1706,9902,8657,3980
IA,Linn County,8290,40706,51669,49890
IA,Louisa County,1226,2909,2433,1148
IA,Lucas County,472,2458,2012,1014
IA,Lyon County,717,2827,2500,1577
IA,Madison County,634,4014,3643,2691
IA,Mahaska County,1170,5914,4573,3287
IA,Marion County,1469,7504,6678,6329
IA,Marshall County,4280,9062,8174,4981
IA,Mills County,745,3519,3572,2491
IA,Mitchell County,597,2790,2494,1383
IA,Monona County,490,2434,2457,970
IA,Monroe County,659,2100,1680,932
IA,Montgomery County,668,2459,2569,1290
IA,Muscatine County,3159,10099,9214,6163
IA,O'Brien County,752,3823,3205,1798
IA,Osceola County,491,1555,1444,760
IA,Page County,944,4061,3877,2253
IA,Palo Alto County,449,1795,2335,1566
IA,Plymouth County,1159,5696,6066,3899
IA,Pocahontas County,381,1921,1844,731
IA,Polk County,26967,77802,96514,116749
IA,Pottawattamie County,6658,20652,22321,13567
IA,Poweshiek County,730,4564,3595,3144
IA,Ringgold County,250,1271,1188,737
IA,Sac County,500,2562,2489,1390
IA,Scott County,8374,34586,36685,37124
IA,Shelby County,624,2910,2877,1825
IA,Sioux County,2022,6254,6419,6030
IA,Story County,1445,8859,14281,26227
IA,Tama County,1014,4652,4120,1834
IA,Taylor County,419,1641,1588,617
IA,Union County,822,3000,3099,1518
IA,Van Buren County,542,1953,1798,725
IA,Wapello County,2839,8369,8231,4512
IA,Warren County,1527,10127,10749,10498
IA,Washington County,1275,5834,4510,3243
IA,Wayne County,528,1936,1346,553
IA,Webster County,2349,8347,9046,4912
IA,Winnebago County,538,2428,2603,1548
IA,Winneshiek County,632,4382,4197,4054
IA,Woodbury County,8510,21167,20924,15217
IA,Worth County,353,1921,2080,921
IA,Wright County,677,3264,3384,1526
KS,Kansas,172126,492807,602276,635070
KS,Allen County,693,2830,3297,1740
KS,Anderson County,469,2196,1616,944
KS,Atchison County,736,3889,3276,2234
KS,Barber County,285,1085,1181,665
KS,Barton County,1879,5714,6530,3736
KS,Bourbon County,827,3000,3637,2066
KS,Brown County,445,2446,2269,1388
KS,Butler County,3293,11330,16152,13044
KS,Chase County,149,529,678,464
KS,Chautauqua County,320,832,857,379
KS,Cherokee County,1403,4536,5204,2716
KS,Cheyenne County,123,590,645,552
KS,Clark County,74,384,586,369
KS,Clay County,403,1987,1747,1505
KS,Cloud County,423,1894,2246,1438
KS,Coffey County,425,1871,2105,1432
KS,Comanche County,76,435,537,200
KS,Cowley County,2180,6984,9099,5084
KS,Crawford County,1837,6808,7666,6950
KS,Decatur County,129,760,774,484
KS,Dickinson County,1115,4327,4617,2985
KS,Doniphan County,484,1839,1623,1057
KS,Douglas County,3231,12818,19072,34607
KS,Edwards County,309,596,826,382
KS,Elk County,217,802,571,294
KS,Ellis County,1168,4696,5255,6335
KS,Ellsworth County,379,1552,1708,882
KS,Finney County,6238,4772,6838,3673
KS,Ford County,5378,5142,6214,3604
KS,Franklin County,1341,6432,5848,3492
KS,Geary County,1138,4560,8331,4247
KS,Gove County,153,698,695,379
KS,Graham County,141,605,683,470
KS,Grant County,1013,1143,1597,655
KS,Gray County,855,850,1309,764
KS,Greeley County,105,218,267,220
KS,Greenwood County,335,1602,1598,880
KS,Hamilton County,319,664,370,312
KS,Harper County,401,1512,1327,628
KS,Harvey County,2169,5397,7618,7543
KS,Haskell County,685,478,894,425
KS,Hodgeman County,117,273,517,403
KS,Jackson County,480,3487,3156,1807
KS,Jefferson County,859,5261,4056,3070
KS,Jewell County,151,869,755,425
KS,Johnson County,16130,57706,101879,223462
KS,Kearny County,555,747,664,340
KS,Kingman County,334,1716,1880,1270
KS,Kiowa County,191,438,534,454
KS,Labette County,1410,4397,5432,2591
KS,Lane County,61,340,420,246
KS,Leavenworth County,4268,15417,17698,17187
KS,Lincoln County,143,662,841,486
KS,Linn County,702,2658,2375,1105
KS,Logan County,172,539,886,318
KS,Lyon County,2336,5838,6260,5469
KS,McPherson County,1698,5415,6874,5435
KS,Marion County,692,2489,2969,2054
KS,Marshall County,529,2862,2108,1280
KS,Meade County,532,726,937,559
KS,Miami County,917,7216,7801,6766
KS,Mitchell County,215,1260,1593,1082
KS,Montgomery County,2452,6400,8810,4282
KS,Morris County,356,1460,1360,865
KS,Morton County,298,521,721,322
KS,Nemaha County,386,2634,1923,1680
KS,Neosho County,993,3508,4327,1950
KS,Ness County,191,653,850,408
KS,Norton County,437,1385,1420,750
KS,Osage County,1016,4297,3564,2115
KS,Osborne County,154,878,906,598
KS,Ottawa County,207,1444,1434,999
KS,Pawnee County,465,1640,1882,969
KS,Phillips County,285,1364,1268,811
KS,Pottawatomie County,868,4386,4731,5096
KS,Pratt County,483,1520,2249,1850
KS,Rawlins County,78,550,774,444
KS,Reno County,4946,11937,17183,9003
KS,Republic County,139,1179,1225,871
KS,Rice County,525,1824,2464,1421
KS,Riley County,1602,7200,11732,17213
KS,Rooks County,406,1090,1262,828
KS,Rush County,172,651,844,518
KS,Russell County,602,1373,1901,1165
KS,Saline County,3162,11147,12640,10141
KS,Scott County,501,869,1042,809
KS,Sedgwick County,34504,87563,107875,102670
KS,Seward County,4356,3714,3432,1421
KS,Shawnee County,9375,37832,36081,37290
KS,Sheridan County,71,620,726,400
KS,Sherman County,314,1240,1649,892
KS,Smith County,188,970,941,602
KS,Stafford County,269,847,1042,728
KS,Stanton County,274,377,382,242
KS,Stevens County,767,909,1364,481
KS,Sumner County,1204,5450,5326,3636
KS,Thomas County,338,1324,2220,1133
KS,Trego County,144,664,795,530
KS,Wabaunsee County,218,1648,1715,1143
KS,Wallace County,57,276,390,347
KS,Washington County,324,1571,1178,784
KS,Wichita County,201,412,578,309
KS,Wilson County,690,2035,2282,990
KS,Woodson County,215,812,884,397
KS,Wyandotte County,22058,33514,29906,18934
KY,Kentucky,414784,993098,880129,731082
KY,Adair County,2697,5153,3280,2069
KY,Allen County,2574,5557,3961,2325
KY,Anderson County,1554,5623,5092,3100
KY,Ballard County,721,2047,1959,897
KY,Barren County,5067,12561,7366,4878
KY,Bath County,1899,3379,1744,1188
KY,Bell County,5746,7280,4163,1733
KY,Boone County,5877,23573,28753,27538
KY,Bourbon County,2253,5012,4063,2732
KY,Boyd County,4021,11550,11925,6613
KY,Boyle County,2580,6710,5698,5038
KY,Bracken County,817,2655,1498,756
KY,Breathitt County,2248,3382,2178,1399
KY,Breckinridge County,2240,6314,3819,1677
KY,Bullitt County,6444,23261,17957,8235
KY,Butler County,1830,3857,2049,1253
KY,Caldwell County,1163,4031,2394,1369
KY,Calloway County,2541,7755,6975,6885
KY,Campbell County,5888,17981,16700,23136
KY,Carlisle County,559,1357,939,500
KY,Carroll County,1560,2890,2138,590
KY,Carter County,3876,7497,4903,2340
KY,Casey County,2637,4464,2499,1406
KY,Christian County,5872,12619,14796,7360
KY,Clark County,3489,8661,8042,5090
KY,Clay County,5132,5136,2842,1430
KY,Clinton County,1908,2839,1651,731
KY,Crittenden County,1030,2674,1831,832
KY,Cumberland County,889,2097,1240,649
KY,Daviess County,6777,23134,22323,15552
KY,Edmonson County,1925,3458,2511,903
KY,Elliott County,1380,2400,1212,539
KY,Estill County,2467,4630,2018,997
KY,Fayette County,18266,40802,58237,90867
KY,Fleming County,2011,3973,2610,1268
KY,Floyd County,6353,9685,6706,2909
KY,Franklin County,3914,11139,9870,10617
KY,Fulton County,909,1627,1227,583
KY,Gallatin County,1100,2581,1481,680
KY,Garrard County,2351,4592,3267,2180
KY,Grant County,2159,7631,4235,2082
KY,Graves County,3167,9939,7701,4371
KY,Grayson County,3314,7678,4998,1878
KY,Green County,1946,3001,1948,1045
KY,Greenup County,2789,9118,9088,4342
KY,Hancock County,849,2528,1784,667
KY,Hardin County,6783,21820,27330,15783
KY,Harlan County,5093,6462,5117,2025
KY,Harrison County,2321,5220,3512,1891
KY,Hart County,3000,5081,3080,1440
KY,Henderson County,4187,11505,10461,5817
KY,Henry County,1620,4491,3357,1426
KY,Hickman County,654,1369,743,519
KY,Hopkins County,4204,12778,9415,5228
KY,Jackson County,2378,4003,1702,1296
KY,Jefferson County,49799,141612,161586,177361
KY,Jessamine County,4416,10612,9486,10260
KY,Johnson County,3078,5763,4453,2589
KY,Kenton County,11406,32272,33180,35671
KY,Knott County,2633,3559,2801,1570
KY,Knox County,5572,7976,4484,2984
KY,Larue County,1589,3902,3225,1229
KY,Laurel County,7891,16271,11465,6017
KY,Lawrence County,2692,4603,2467,1056
KY,Lee County,1582,1802,1168,410
KY,Leslie County,2105,3074,1528,638
KY,Letcher County,3873,5894,4227,1934
KY,Lewis County,2282,4042,2263,855
KY,Lincoln County,3411,7238,4098,2203
KY,Livingston County,1092,2933,1905,796
KY,Logan County,2773,8190,4440,3018
KY,Lyon County,801,2696,1957,1109
KY,McCracken County,4385,14406,16013,11137
KY,McCreary County,2840,4961,3443,871
KY,McLean County,818,2663,2105,870
KY,Madison County,6960,15609,15945,17121
KY,Magoffin County,2644,3182,2080,830
KY,Marion County,2390,5842,3029,1626
KY,Marshall County,2573,8664,7082,4359
KY,Martin County,2172,3301,2006,991
KY,Mason County,1610,4079,3780,2289
KY,Meade County,2184,6848,6529,3741
KY,Menifee County,1062,2102,1010,525
KY,Mercer County,2355,5548,4398,2795
KY,Metcalfe County,1719,2711,1689,913
KY,Monroe County,1867,2916,1567,1066
KY,Montgomery County,2895,7666,5497,2980
KY,Morgan County,2337,4072,2202,1234
KY,Muhlenberg County,3884,9736,5385,2735
KY,Nelson County,3169,11536,10691,5584
KY,Nicholas County,1175,2045,1207,432
KY,Ohio County,2735,7039,4363,2234
KY,Oldham County,2690,9008,13421,18500
KY,Owen County,1565,3518,1662,829
KY,Owsley County,965,1137,488,499
KY,Pendleton County,1628,4408,2698,1332
KY,Perry County,4329,6189,5530,2699
KY,Pike County,9729,16650,10361,5514
KY,Powell County,1651,3354,2041,1333
KY,Pulaski County,7756,16103,13857,7440
KY,Robertson County,230,577,454,246
KY,Rockcastle County,2561,5160,2806,1349
KY,Rowan County,2257,4758,3668,3572
KY,Russell County,2704,4769,3249,1843
KY,Scott County,3205,10800,11491,10104
KY,Shelby County,4368,9809,10149,8059
KY,Simpson County,1600,5510,3430,1740
KY,Spencer County,1250,4713,4389,2636
KY,Taylor County,2148,6539,4730,3268
KY,Todd County,1836,3298,1934,1078
KY,Trigg County,1237,3424,3945,1707
KY,Trimble County,1034,2784,1344,849
KY,Union County,949,4555,2967,1054
KY,Warren County,9275,20786,22825,25141
KY,Washington County,1315,3473,1868,1539
KY,Wayne County,3738,5689,3463,1813
KY,Webster County,1587,4255,2296,906
KY,Whitley County,4283,8520,5559,4714
KY,Wolfe County,1460,1937,1329,448
KY,Woodford County,1636,5450,5033,6183
LA,Lousiana,461706,1061388,848474,753585
LA,Acadia Parish,8673,17035,10019,5478
LA,Allen Parish,3633,7928,4314,2020
LA,Ascension Parish,9065,25794,23815,21099
LA,Assumption Parish,3972,6978,3051,1485
LA,Avoyelles Parish,6441,10500,7409,3407
LA,Beauregard Parish,3625,9393,7270,4396
LA,Bienville Parish,1502,4212,2529,1213
LA,Bossier Parish,8645,24841,29032,21026
LA,Caddo Parish,21539,55944,49357,39063
LA,Calcasieu Parish,17569,45462,40695,29704
LA,Caldwell Parish,1575,2869,1371,933
LA,Cameron Parish,735,1938,1527,609
LA,Catahoula Parish,1712,2627,1405,917
LA,Claiborne Parish,2448,5206,2777,1527
LA,Concordia Parish,2633,5424,3356,1870
LA,De Soto Parish,3229,7888,4653,2744
LA,East Baton Rouge Parish,26721,76551,79298,98011
LA,East Carroll Parish,1439,1979,1032,435
LA,East Feliciana Parish,2846,6202,3402,1814
LA,Evangeline Parish,5301,9075,4936,2543
LA,Franklin Parish,3386,5696,2826,1621
LA,Grant Parish,2806,7494,4343,1356
LA,Iberia Parish,9379,20440,10602,6344
LA,Iberville Parish,4689,9522,5622,3202
LA,Jackson Parish,2174,4782,2702,1574
LA,Jefferson Parish,43782,94119,85605,82018
LA,Jefferson Davis Parish,3893,8394,4987,3508
LA,Lafayette Parish,18380,49247,40821,53472
LA,Lafourche Parish,14486,26988,13838,11257
LA,La Salle Parish,2244,4250,2146,1365
LA,Lincoln Parish,2977,6926,6721,9200
LA,Livingston Parish,13601,34956,25149,18083
LA,Madison Parish,1966,2778,1812,963
LA,Morehouse Parish,3491,7322,4043,2213
LA,Natchitoches Parish,2666,8079,7872,4381
LA,Orleans Parish,37349,63287,72591,104257
LA,Ouachita Parish,13611,34480,28516,24489
LA,Plaquemines Parish,2493,5435,4474,2926
LA,Pointe Coupee Parish,3102,6048,3936,2294
LA,Rapides Parish,12593,31930,24227,18162
LA,Red River Parish,1114,2499,1373,804
LA,Richland Parish,2996,5643,3335,1818
LA,Sabine Parish,2361,7717,4275,2206
LA,St. Bernard Parish,5999,9879,10898,3502
LA,St. Charles Parish,3513,12147,10650,8895
LA,St. Helena Parish,1665,2854,1658,1236
LA,St. James Parish,2142,6020,4080,2391
LA,St. John the Baptist Parish,3998,11146,9008,4566
LA,St. Landry Parish,12527,22163,11177,7937
LA,St. Martin Parish,6510,15443,8759,5217
LA,St. Mary Parish,5932,17597,7450,3531
LA,St. Tammany Parish,16481,46450,52423,58978
LA,Tangipahoa Parish,14055,31924,22777,17143
LA,Tensas Parish,715,1462,633,361
LA,Terrebonne Parish,15594,28864,18115,11537
LA,Union Parish,2245,7033,3708,2700
LA,Vermilion Parish,8834,16459,8946,5656
LA,Vernon Parish,3979,12142,8758,5293
LA,Washington Parish,6475,14078,7317,3650
LA,Webster Parish,4390,11427,7203,4192
LA,West Baton Rouge Parish,2262,6564,4941,3880
LA,West Carroll Parish,1629,3518,1642,901
LA,West Feliciana Parish,2070,3680,3014,2792
LA,Winn Parish,1849,4660,2253,1420
ME,Maine,71985,306589,285655,309888
ME,Androscoggin County,7337,26495,23878,17016
ME,Aroostook County,5746,18745,16113,9676
ME,Cumberland County,10265,46947,53657,100732
ME,Franklin County,1605,8210,6422,5352
ME,Hancock County,2468,12804,12142,14158
ME,Kennebec County,6569,28732,27925,24649
ME,Knox County,1930,9883,8135,10066
ME,Lincoln County,1824,9050,6636,8811
ME,Oxford County,3452,17991,13164,8225
ME,Penobscot County,8650,36204,33134,29900
ME,Piscataquis County,1255,5251,4009,2373
ME,Sagadahoc County,1593,7955,7347,9652
ME,Somerset County,4334,15093,11790,6159
ME,Waldo County,2291,9406,8349,9174
ME,Washington County,2473,8788,6754,5092
ME,York County,10193,45035,46200,48853
MD,Maryland,405463,1018653,1052168,1662724
MD,Allegany County,4889,20856,14748,9428
MD,Anne Arundel County,29790,93242,106249,164303
MD,Baltimore County,49009,148205,151661,226425
MD,Calvert County,3316,18963,19998,20269
MD,Caroline County,3543,8996,5866,4152
MD,Carroll County,8471,34296,31423,42417
MD,Cecil County,7471,25643,20865,16976
MD,Charles County,7282,33815,34794,30913
MD,Dorchester County,2784,8884,6510,4880
MD,Frederick County,12801,41274,46084,70751
MD,Garrett County,2189,9298,5488,4497
MD,Harford County,12824,45434,52409,64164
MD,Howard County,9716,28992,41894,134698
MD,Kent County,1584,4159,3295,4895
MD,Montgomery County,64699,96230,134418,422553
MD,Prince George's County,81715,159137,171566,203856
MD,Queen Anne's County,2389,10146,9770,12801
MD,St. Mary's County,7603,22498,20524,23702
MD,Somerset County,3181,6761,4627,2456
MD,Talbot County,2446,6832,7323,11338
MD,Washington County,13442,38312,30279,23046
MD,Wicomico County,8250,20843,17887,17576
MD,Worcester County,3417,12527,12002,11440
MD,Baltimore city,62652,123310,102488,135188
MA,Massachusetts,441944,1148525,1102149,2089065
MA,Barnstable County,7525,39331,46979,72020
MA,Berkshire County,8016,27188,26268,31156
MA,Bristol County,56196,117579,106466,112574
MA,Dukes County,662,3032,3368,5762
MA,Essex County,58243,136027,132312,216380
MA,Franklin County,3572,15124,14626,19824
MA,Hampden County,45075,97330,88909,86136
MA,Hampshire County,5257,22669,23815,48392
MA,Middlesex County,73690,213958,203445,632232
MA,Nantucket County,358,1625,1881,4328
MA,Norfolk County,29865,94532,103634,263397
MA,Plymouth County,25364,99923,98761,135077
MA,Suffolk County,75529,122379,100517,254858
MA,Worcester County,52592,157828,151168,206929
MI,Michigan,626190,1967316,2234804,1985170
MI,Alcona County,907,3346,2818,1443
MI,Alger County,707,3161,1906,1218
MI,Allegan County,7147,29818,23970,17818
MI,Alpena County,1721,7122,8505,3807
MI,Antrim County,1456,5507,5458,5035
MI,Arenac County,1312,4770,3875,1433
MI,Baraga County,673,2534,2048,987
MI,Barry County,3111,15988,14334,8924
MI,Bay County,7120,25805,27304,14413
MI,Benzie County,893,4146,4228,4020
MI,Berrien County,11107,30220,36383,29919
MI,Branch County,3290,12583,10074,4367
MI,Calhoun County,8159,33557,30246,19175
MI,Cass County,4527,12192,13008,7048
MI,Charlevoix County,1153,5727,6405,5991
MI,Cheboygan County,1925,7411,6122,4028
MI,Chippewa County,2591,8882,9024,5530
MI,Clare County,3477,8217,7928,2835
MI,Clinton County,2956,14425,19212,17290
MI,Crawford County,1055,3460,3924,2030
MI,Delta County,1563,8942,10417,5546
MI,Dickinson County,933,6166,6705,4786
MI,Eaton County,4387,21255,29812,21311
MI,Emmet County,1481,5941,8617,8052
MI,Genesee County,26220,88383,105561,59248
MI,Gladwin County,2455,7408,6447,2535
MI,Gogebic County,728,4303,4262,2242
MI,Grand Traverse County,3197,15948,23444,23999
MI,Gratiot County,2514,11422,9965,4339
MI,Hillsdale County,3695,12156,9988,5421
MI,Houghton County,1521,7014,5730,6904
MI,Huron County,2516,9611,7269,3682
MI,Ingham County,12432,38750,56615,68502
MI,Ionia County,4128,17100,15285,7168
MI,Iosco County,2163,7475,6793,3110
MI,Iron County,773,3652,2674,1611
MI,Isabella County,3311,12328,11863,11268
MI,Jackson County,10171,35925,39673,24407
MI,Kalamazoo County,10587,36155,53939,63961
MI,Kalkaska County,1614,5358,4232,1512
MI,Kent County,39718,103253,132093,152873
MI,Keweenaw County,61,603,494,545
MI,Lake County,1607,3713,2745,1086
MI,Lapeer County,5696,22360,23022,11414
MI,Leelanau County,726,3615,4902,7484
MI,Lenawee County,6229,25208,22591,14371
MI,Livingston County,6416,34315,45168,47052
MI,Luce County,554,1761,1587,881
MI,Mackinac County,780,2851,2801,1949
MI,Macomb County,61725,182237,217066,152468
MI,Manistee County,1862,6530,6230,3724
MI,Marquette County,2242,13730,13843,14648
MI,Mason County,1656,7239,7256,4842
MI,Mecosta County,2634,9702,8489,6101
MI,Menominee County,1287,7301,5799,2798
MI,Midland County,3363,16889,17594,20528
MI,Missaukee County,1095,4373,3511,1460
MI,Monroe County,9023,37079,37516,21581
MI,Montcalm County,4999,17843,15390,5882
