state,county,less_than_high_school_diploma_2015-19,high_school_diploma_only_2015-19,some_college_or_associate_ degree_2015-19,bachelor_degree_or_higher_2015-19
AR,Drew County,1526,4115,3364,2656
AR,Faulkner County,6196,23112,23378,23183
AR,Franklin County,1956,4930,3672,1459
AR,Fulton County,1275,3171,3322,1083
AR,Garland County,7779,22462,25762,15464
AR,Grant County,1170,5570,3600,2380
AR,Greene County,3536,13792,7887,4859
AR,Hempstead County,2491,5276,4400,2162
AR,Hot Spring County,3442,9474,8150,3227
AR,Howard County,1297,3371,2921,1192
AR,Independence County,3512,9451,7753,4406
AR,Izard County,1653,3876,3334,1332
AR,Jackson County,2421,5186,3361,1239
AR,Jefferson County,6499,18240,13726,8439
AR,Johnson County,3678,7082,3982,2679
AR,Lafayette County,995,1972,1161,775
AR,Lawrence County,1782,4340,3377,1730
AR,Lee County,1632,2728,1668,726
AR,Lincoln County,1951,4878,2481,1004
AR,Little River County,960,3882,2762,1090
AR,Logan County,2108,6902,4256,2043
AR,Lonoke County,5246,17701,15363,9944
AR,Madison County,2164,4903,2522,1590
AR,Marion County,1700,4727,4022,2151
AR,Miller County,4018,10473,10200,4970
AR,Mississippi County,5137,10586,7757,3771
AR,Monroe County,1064,2077,1252,639
AR,Montgomery County,1351,2432,2002,902
AR,Nevada County,562,2513,1917,853
AR,Newton County,774,2026,1754,1172
AR,Ouachita County,2286,6816,4908,2370
AR,Perry County,1099,3022,2213,918
AR,Phillips County,2367,3833,4146,1653
AR,Pike County,949,2865,2410,1301
AR,Poinsett County,3204,7019,4265,1804
AR,Polk County,2119,5136,4817,1981
AR,Pope County,6286,14253,10742,9220
AR,Prairie County,1004,2388,1663,923
AR,Pulaski County,25739,69244,80241,91541
AR,Randolph County,2093,4417,4028,1694
AR,St. Francis County,3239,6739,6075,1861
AR,Saline County,7756,25927,26944,22073
AR,Scott County,1460,2853,2034,652
AR,Searcy County,1057,2326,1721,689
AR,Sebastian County,13548,26385,26951,18122
AR,Sevier County,2510,4003,2806,1367
AR,Sharp County,2052,5071,4022,1261
AR,Stone County,1737,3215,2987,1279
AR,Union County,4029,9509,7583,5642
AR,Van Buren County,1820,5213,3425,1777
AR,Washington County,21148,36273,36611,46968
AR,White County,7975,20092,12382,10659
AR,Woodruff County,853,2041,1113,655
AR,Yell County,3160,5806,3673,1858
CA,California,4418675,5423462,7648680,8980726
CA,Alameda County,135524,205980,275053,556105
CA,Alpine County,68,216,220,266
CA,Amador County,3024,8322,13112,5837
CA,Butte County,15864,33186,58310,40149
CA,Calaveras County,3424,9759,15281,6384
CA,Colusa County,3932,3586,4107,2052
CA,Contra Costa County,82921,135825,235034,333398
CA,Del Norte County,3918,6095,6724,2907
CA,El Dorado County,9029,29137,51867,46995
CA,Fresno County,145232,137213,193773,127919
CA,Glenn County,4518,4890,6002,2541
CA,Humboldt County,8811,20505,35024,28123
CA,Imperial County,33336,26782,33247,16760
CA,Inyo County,1508,3775,4334,3587
CA,Kern County,139316,149493,160896,88094
CA,Kings County,24758,23488,31040,13630
CA,Lake County,6604,14169,18441,7212
CA,Lassen County,3807,7799,8081,2928
CA,Los Angeles County,1437059,1419449,1789308,2241079
CA,Madera County,27373,24303,31659,14192
CA,Marin County,12759,20018,44352,113274
CA,Mariposa County,1283,3320,5681,3348
CA,Mendocino County,8346,15528,22974,15157
CA,Merced County,49522,40500,48248,22118
CA,Modoc County,1025,2224,2467,1024
CA,Mono County,1135,2402,3529,2861
CA,Monterey County,78519,56000,73043,68106
CA,Napa County,14227,17473,31432,35091
CA,Nevada County,4286,13957,29450,28307
CA,Orange County,315045,373447,599846,880086
CA,Placer County,14777,48614,99628,107378
CA,Plumas County,709,3773,6565,3432
CA,Riverside County,280136,418902,512894,347937
CA,Sacramento County,126265,230622,354374,317319
CA,San Benito County,7616,9644,14012,7686
CA,San Bernardino County,270241,355250,441645,283484
CA,San Diego County,282031,409613,683145,871782
CA,San Francisco County,80204,83795,127615,403716
CA,San Joaquin County,96843,132461,150446,87705
CA,San Luis Obispo County,16514,37609,67922,66812
CA,San Mateo County,57386,81909,130946,281049
CA,Santa Barbara County,52419,49006,79694,93973
CA,Santa Clara County,155203,188180,292055,699520
CA,Santa Cruz County,24593,27933,53963,73511
CA,Shasta County,11275,32118,55087,28044
CA,Sierra County,185,766,1035,434
CA,Siskiyou County,3095,8074,13170,7343
CA,Solano County,35139,72340,114484,81736
CA,Sonoma County,40280,67371,124081,127582
CA,Stanislaus County,72491,100758,111725,58652
CA,Sutter County,13673,14613,22916,11424
CA,Tehama County,6780,13212,16990,6868
CA,Trinity County,752,3428,3745,1922
CA,Tulare County,79125,69314,83215,39697
CA,Tuolumne County,3829,11691,17313,8471
CA,Ventura County,85256,109206,183009,192675
CA,Yolo County,17179,23086,34470,52851
CA,Yuba County,8506,11333,20001,8193
CO,Colorado,315751,817452,1127242,1565134
CO,Adams County,52590,92779,100196,78690
CO,Alamosa County,1264,2742,3204,2409
CO,Arapahoe County,32339,91255,127088,187205
CO,Archuleta County,777,2131,3462,3767
CO,Baca County,359,730,961,558
CO,Bent County,691,2210,1116,517
CO,Boulder County,10596,24916,45172,132071
CO,Broomfield County,1439,6793,12562,26198
CO,Chaffee County,1004,4193,5082,5244
CO,Cheyenne County,112,492,477,257
CO,Clear Creek County,102,1613,2115,3546
CO,Conejos County,636,1794,1747,1109
CO,Costilla County,532,684,1038,539
CO,Crowley County,540,1653,1339,351
CO,Custer County,244,791,1537,1240
CO,Delta County,2071,8544,6843,4835
CO,Denver County,60938,85694,110587,251499
CO,Dolores County,86,506,469,337
CO,Douglas County,4158,26712,62264,128705
CO,Eagle County,4522,5854,9968,18161
CO,Elbert County,600,4422,6740,6564
CO,El Paso County,26003,92340,159628,174144
CO,Fremont County,3668,14532,11922,6820
CO,Garfield County,4685,10623,11811,12179
CO,Gilpin County,76,1055,1844,1948
CO,Grand County,629,3100,3456,4396
CO,Gunnison County,278,1687,2677,5959
CO,Hinsdale County,44,160,178,321
CO,Huerfano County,396,1546,2171,1103
CO,Jackson County,123,274,382,195
CO,Jefferson County,22750,84160,120528,187387
CO,Kiowa County,43,355,385,213
CO,Kit Carson County,544,1957,1725,972
CO,Lake County,905,1433,1426,1799
CO,La Plata County,1771,7958,12456,17588
CO,Larimer County,9396,43024,67178,107189
CO,Las Animas County,1279,3103,4087,2058
CO,Lincoln County,374,2243,982,518
CO,Logan County,1577,5114,5401,3063
CO,Mesa County,9849,28768,36165,29392
CO,Mineral County,18,110,245,324
CO,Moffat County,1004,3447,2879,1563
CO,Montezuma County,1852,5449,5801,5510
CO,Montrose County,3266,9344,9627,7487
CO,Morgan County,3879,5759,5547,3216
CO,Otero County,1552,3875,4452,2258
CO,Ouray County,86,613,1312,1840
CO,Park County,327,4373,5233,4216
CO,Phillips County,322,927,884,667
CO,Pitkin County,425,2332,2607,8316
CO,Prowers County,1516,2027,2806,1425
CO,Pueblo County,11721,33019,44046,24679
CO,Rio Blanco County,342,1328,1585,958
CO,Rio Grande County,992,2459,2331,1873
CO,Routt County,588,3751,4960,9241
CO,Saguache County,818,1475,1469,1067
CO,San Juan County,30,125,157,173
CO,San Miguel County,193,925,1338,3593
CO,Sedgwick County,210,470,619,315
CO,Summit County,1663,4194,5270,12232
CO,Teller County,522,4354,6793,7062
CO,Washington County,275,1171,1423,521
CO,Weld County,23401,53700,65333,54106
CO,Yuma County,759,2285,2156,1446
CT,Connecticut,232663,666828,608139,975465
CT,Fairfield County,64195,138177,132514,308399
CT,Hartford County,64286,165917,155526,237493
